time,theta
50.0000,100.0000
49.4949,140.5247
48.9899,194.1906
48.4848,264.1103
47.9798,353.8056
47.4747,467.1864
46.9697,608.5130
46.4646,782.3417
45.9596,993.4558
45.4545,1246.7826
44.9495,1547.3007
44.4444,1899.9394
43.9394,2309.4752
43.4343,2780.4283
42.9293,3316.9625
42.4242,3922.7929
41.9192,4601.1039
41.4141,5354.4794
40.9091,6184.8481
40.4040,7093.4439
39.8990,8080.7826
39.3939,9146.6550
38.8889,10290.1341
38.3838,11509.5982
37.8788,12802.7649
37.3737,14166.7372
36.8687,15598.0583
36.3636,17092.7728
35.8586,18646.4935
35.3535,20254.4707
34.8485,21911.6635
34.3434,23612.8096
33.8384,25352.4941
33.3333,27125.2151
32.8283,28925.4455
32.3232,30747.6893
31.8182,32586.5337
31.3131,34436.6948
30.8081,36293.0577
30.3030,38150.7107
29.7980,40004.9741
29.2929,41851.4228
28.7879,43685.9042
28.2828,45504.5509
27.7778,47303.7892
27.2727,49080.3431
26.7677,50831.2349
26.2626,52553.7828
25.7576,54245.5954
25.2525,55904.5636
24.7475,57528.8515
24.2424,59116.8851
23.7374,60667.3393
23.2323,62179.1251
22.7273,63651.3751
22.2222,65083.4293
21.7172,66474.8203
21.2121,67825.2591
20.7071,69134.6198
20.2020,70402.9264
19.6970,71630.3383
19.1919,72817.1373
18.6869,73963.7151
18.1818,75070.5607
17.6768,76138.2494
17.1717,77167.4321
16.6667,78158.8247
16.1616,79113.1990
15.6566,80031.3742
15.1515,80914.2085
14.6465,81762.5918
14.1414,82577.4389
13.6364,83359.6836
13.1313,84110.2726
12.6263,84830.1610
12.1212,85520.3071
11.6162,86181.6690
11.1111,86815.2006
10.6061,87421.8484
10.1010,88002.5489
9.5960,88558.2261
9.0909,89089.7891
8.5859,89598.1307
8.0808,90084.1256
7.5758,90548.6292
7.0707,90992.4765
6.5657,91416.4813
6.0606,91821.4355
5.5556,92208.1088
5.0505,92577.2480
4.5455,92929.5771
4.0404,93265.7970
3.5354,93586.5858
3.0303,93892.5986
2.5253,94184.4679
2.0202,94462.8036
1.5152,94728.1939
1.0101,94981.2048
0.5051,95222.3813
0.0000,95452.2476
